no,record_key,author,title,imprint_place,year,type,subject,status,confidence,attested_by,shelfmark,institution,catalogue_record,facsimile
113,e-kl-23,"Magini, Giovanni Antonio","Geographiae universae tum veteris tum novae absolutissimum opus (Ptolemy, ed. Magini), 2 vols",,1597,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 19 C 92,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000084823&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__19C000092P1_0NZ8SH4-cs
114,e-norlind-manilius-astronomicon,Marcus Manilius (ed. J.J. Scaliger),Astronomicon a Jos. Scaligero repurgatum,Leiden,1600,Printed Book,Astronomical poetry,"Attested, not located",B,Norlind 1970,,,,
115,e-norlind-brasch-varadino,Martin Brasch,Carmen epicum de Varadino (manuscript poem),,1600,Manuscript,Poetry,Attested; retired as unlocatable,C,Norlind 1970,,,,
116,e-norlind-everaert-ephemerides,Martin Everaert (Everhardus),Ephemerides novae et exactae 1590-1610 ex novis tabulis Belgicis,Leiden,1597,Printed Book,Ephemerides/Tables,"Attested, not located",B,Norlind 1970,,,,
117,e-norlind-dresser-historialutheri,Matthäus Dresser,Historia Lutheri,Leipzig,1598,Printed Book,History/Theology,"Attested, not located",B,Norlind 1970,,,,
118,e-prandtlA-22,"Maurolycus, Franciscus",Cosmographia,Venice,1543,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 H 190/adl.1,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000159592&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_H_000190_2H26VT1-cs
119,e-norlind-jostel-lunae,Melchior Jöstel,Lunae deliquium ad hunc Christi annum 1599,Wittenberg,1599,Printed Book,Astronomy (eclipse),"Attested, not located",B,Norlind 1970,,,,
120,e-norlind-maestlin-frischlin1573,Michael Maestlin,"Demonstratio astronomica loci stellae novae (in Frischlin, Consideratio novae stellae, Tübingen 1573)",Tübingen,1573,Printed Book,Astronomy (nova),Attested; retired as unlocatable,C,Norlind 1970,,,,
121,e-norlind-maestlin-observatio1578,Michael Maestlin,Observatio et demonstratio cometae aetherei 1577-1578,Tübingen,1578,Printed Book,Astronomy (comet),"Attested, not located",B,Norlind 1970,,,,
122,e-norlind-maestlin-ephemerides,Michael Maestlin,Ephemerides novae 1577-1590,Tübingen,1580,Printed Book,Ephemerides/Tables,Attested; retired as unlocatable,B,Norlind 1970,,,,
123,e-norlind-maestlin-consideratio1580,Michael Maestlin,Consideratio et observatio cometae aetherei 1580,Heidelberg,1581,Printed Book,Astronomy (comet),"Attested, not located",B,Norlind 1970,,,,
124,e-norlind-maestlin-calendarii,Michael Maestlin,Ausführlicher und gründlicher Bericht von der Jahrrechnung (de emendatione Calendarii),Heidelberg,1583,Printed Book,Calendar reform,"Attested, not located",B,Norlind 1970,,,,
125,e-prandtlA-23,"Mizaldus, Antonius",Cometographia,Paris,1549,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 J 190,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000162802&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_J_000190_3JP8VIC-cs
126,e-prandtlA-24,"Moestlin, Michael",Alterum examen novi Pontificalis Gregoriani Calendarii,Tübingen,1586,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 G 30,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000158840&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_G_000030_2ZS4M00-cs
127,e-prandtlA-25,"Naiboda, Valentinus",Primarum de coelo et terra institutionum libri tres,Venice,1573,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 5 J 2,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000058701&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_J_000002__0TPC701-cs
128,e-norlind-bazelius-prognosticon,Nicolaus Bazelius,Prognosticon novum anni 1578 ... cum descriptione cometae,Antwerp,1578,Printed Book,Astronomy (comet/prognostic),Attested; retired as unlocatable,C,Norlind 1970,,,,
129,e-onb-commentariolus,Nicolaus Copernicus,Commentariolus (De hypothesibus motuum coelestium ... commentariolus) — manuscript,,,Manuscript,Astronomy,Located,C,Norlind 1970,"Cod. 10530 HAN MAG (ÖNB, fol. 32r–42v)",Austrian National Library (Österreichische Nationalbibliothek),http://data.onb.ac.at/rec/AC13945612,
130,e-prague-copernicus,Nicolaus Copernicus,De revolutionibus orbium coelestium (Tycho's library copy),,,Printed Book,Astronomy,Located,A,Šolc 2002,"Sign. 14 B 16 (Kleinschnitzová FK11; De revolutionibus + Rheticus Narratio prima, Basel 1566)",National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000059267&local_base=STT,https://books.google.com/books?vid=NKP:1002391365&printsec=frontcover
131,e-ghost-copernicus-derev-owned,Nicolaus Copernicus,De revolutionibus (a working copy beyond the Clementinum one),,1543,Printed Book,Astronomy,Located,B,Norlind 1970,"Ottoboniana 1902 (De revolutionibus, Nuremberg 1543)",Biblioteca Apostolica Vaticana,https://digi.vatlib.it/view/MSS_Ott.lat.1902,https://digi.vatlib.it/view/MSS_Ott.lat.1902
132,e-norlind-ursus-fundamentum,Nicolaus Reimers Ursus (Bär),"Fundamentum astronomicum, id est nova doctrina sinuum et triangulorum",Strasbourg,1588,Printed Book,Astronomy (world-system),"Attested, not located",B,Norlind 1970,,,,
133,e-norlind-ursus-hypothesibus,Nicolaus Reimers Ursus (Bär),"De astronomicis hypothesibus, seu de systemate mundano",Prague,1597,Printed Book,Astronomy (world-system polemic),"Attested, not located",B,Norlind 1970,,,,
134,e-mort-niels-krag-laced-lost,Niels Krag,Republica Lacedaemoniorum (1593) — copy with Tycho's autograph distichs,,1593,Printed Book,History/Antiquity,Lost,B,Mortensen 1955,,,,
135,e-kl39-6-finaeus-speculo,Oronce Finé (Orontius Finaeus),De speculo ustorio liber unicus,,1551,Printed Book,Mathematics/Optics (burning mirrors),Located,A,Norlind 1970,Sign. 14 H 225,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000160485&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_H_000225_0JMJXKC-cs
136,e-prandtlA-50,"Osius, Hieronymus",Historia excidii Hierosolymitani versibus elegiacis,Wittenberg,1558,Printed Book,Letters/Philosophy,Located,A,Prandtl 1932,(Specialsamlingar; no class-mark in the OPAC),Uppsala University Library,https://libris.kb.se/fxqdp8qr4fzxfx8,
137,e-prandtlA-27,"Paduanus, Joannes",Viridarium Mathematicorum,Venice,,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 K 70,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000157951&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_K_000070_2RIHJWB-cs
138,e-prandtlA-26,"Paduanus, Joannes",Opera,Venice,1563,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 H 190/adl.1,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000159592&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_H_000190_2H26VT1-cs
139,e-solc-fk32b,Pantaleon Candidus,De regibus Bohemicis libri quinque,,1587,Printed Book,History (Bohemia),Located,B,Šolc 2002,Sign. 9 B 135,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000138339&local_base=STT,
